Open,High,Low,Close,Volume,Year,Month,Day,5_SMA,5_EMA,20_SMA,20_EMA,50_SMA,50_EMA,200_SMA,200_EMA,Cross,MACD,Stochastic_Oscillator
10282.2197265625,10350.98046875,10193.4501953125,10215.2197265625,357930000,2005,10,21,10308.76171875,10281.356731709104,10356.217431640625,10344.603426035183,10459.12216796875,10424.987048729,10505.058525390625,10452.511499935612,-45.93635742187507,-59.26701982031773,0.0
10216.1103515625,10387.0,10216.1103515625,10385.0,263690000,2005,10,24,10316.141796875,10315.90448780607,10353.2859375,10348.450718793736,10454.8159765625,10423.418929171003,10503.963725585938,10451.839743717348,-49.14774902343743,-48.78541928348204,0.8535525618114334
10383.8798828125,10411.650390625,10316.8798828125,10377.8701171875,246960000,2005,10,25,10334.6638671875,10336.559697599881,10349.3689453125,10351.25256625981,10449.68578125,10421.632701250082,10502.747924804688,10451.103727532973,-53.06214355468728,-40.586145477174796,0.8177078219202294
10377.3896484375,10434.4697265625,10336.8203125,10344.98046875,266810000,2005,10,26,10320.833984375,10339.366621316589,10342.9634765625,10350.655223639827,10446.31638671875,10418.626731348118,10501.691728515625,10450.047774709263,-55.375341796874636,-36.32336849030071,0.6523585554093596
10344.740234375,10349.2197265625,10229.9501953125,10229.9501953125,236490000,2005,10,27,10310.6041015625,10302.894479315226,10326.82197265625,10339.159506656273,10439.90119140625,10411.227651503585,10499.752578125,10447.857749043624,-59.85138671875029,-41.74584857832997,0.07405589049704445
10231.150390625,10404.7001953125,10231.150390625,10402.76953125,283060000,2005,10,28,10348.1140625,10336.186163293485,10318.525439453126,10345.217604236628,10436.85798828125,10410.895960513248,10499.237275390626,10447.409110060604,-62.37928710937558,-31.732336394981758,0.9428870210718564
10403.169921875,10486.650390625,10403.169921875,10440.0703125,320080000,2005,10,31,10359.128125,10370.814213028989,10313.754931640626,10354.251195499806,10434.47478515625,10412.040052748023,10498.647626953125,10447.336087199306,-64.17284179687522,-20.54980912717292,1.0
10440.0703125,10455.2802734375,10406.0400390625,10406.76953125,294480000,2005,11,1,10364.9080078125,10382.79931910266,10312.037890625,10359.25294176173,10431.2123828125,10411.833365630455,10497.537524414063,10446.932439876427,-66.32514160156279,-14.210856534136838,0.8518981789122116
10406.2900390625,10493.5400390625,10388.759765625,10472.73046875,279710000,2005,11,2,10390.4580078125,10412.776368985105,10319.806396484375,10370.060325284421,10430.275390625,10414.221487321418,10497.201328125,10447.18913668114,-66.92593750000015,-3.8206524337911105,1.0
10470.490234375,10561.16015625,10470.490234375,10522.58984375,320900000,2005,11,3,10448.9859375,10449.380860573405,10331.580908203125,10384.586946090665,10432.02978515625,10418.471226789205,10497.456928710937,10447.93939247287,-65.42714355468706,8.340747102763999,1.0
10523.23046875,10552.3798828125,10479.3896484375,10530.759765625,230870000,2005,11,4,10474.583984375,10476.50716225727,10343.50341796875,10398.508166998698,10433.6323828125,10422.874698900412,10498.145776367188,10448.763475787817,-64.51339355468735,18.425589543337992,1.0
10531.240234375,10593.349609375,10520.4296875,10586.23046875,241260000,2005,11,7,10503.816015625,10513.081597754846,10360.876953125,10416.386481451204,10437.41119140625,10429.280807521965,10499.233876953125,10450.13130656356,-61.82268554687471,30.541854501983835,1.0
10574.1796875,10574.2197265625,10524.2802734375,10539.7197265625,201770000,2005,11,8,10530.4060546875,10521.960974024065,10375.204443359375,10428.132504795138,10438.94458984375,10433.611745523554,10499.624677734375,10451.022733628226,-60.680087890625146,35.976340725257614,0.8746377479172973
